epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,500.692,0.89884,0.75114,1.15943,0.83487,0.76855,0.8616,0.63967,0.894,0.72905,1.12966,0.00999655,0.00333218,0.00999655,0.00333218,0.00999655,0.00333218,0.00999655,0.00333218
2,927.839,1.01109,0.91832,1.22765,0.80499,0.71985,0.81365,0.58286,0.97355,0.85556,1.18622,0.0198953,0.00663176,0.0198953,0.00663176,0.0198953,0.00663176,0.0198953,0.00663176
3,1316.65,1.09363,1.04183,1.27777,0.78673,0.69895,0.79534,0.55748,1.01698,0.93439,1.21451,0.029392,0.00979735,0.029392,0.00979735,0.029392,0.00979735,0.029392,0.00979735
4,1694.93,1.11269,1.06284,1.28881,0.81128,0.72873,0.82977,0.59555,0.96405,0.849,1.17897,0.0286513,0.00955042,0.0286513,0.00955042,0.0286513,0.00955042,0.0286513,0.00955042
5,2074.43,1.0697,0.99611,1.25918,0.82758,0.74822,0.84546,0.61712,0.92766,0.78796,1.15201,0.0276307,0.00921024,0.0276307,0.00921024,0.0276307,0.00921024,0.0276307,0.00921024
6,2450.64,1.04038,0.95343,1.24063,0.83362,0.75706,0.85617,0.63104,0.90681,0.75346,1.13608,0.0263546,0.00878485,0.0263546,0.00878485,0.0263546,0.00878485,0.0263546,0.00878485
7,2829.96,1.02224,0.9235,1.22656,0.828,0.76775,0.86376,0.64578,0.8804,0.73764,1.11647,0.0248488,0.00828293,0.0248488,0.00828293,0.0248488,0.00828293,0.0248488,0.00828293
8,3208.1,1.00543,0.90086,1.21376,0.83132,0.78281,0.87185,0.65487,0.86261,0.71605,1.10443,0.0231441,0.00771469,0.0231441,0.00771469,0.0231441,0.00771469,0.0231441,0.00771469
9,3584.67,0.98692,0.87497,1.20624,0.83146,0.79021,0.8773,0.66391,0.84784,0.6933,1.09371,0.0212751,0.00709169,0.0212751,0.00709169,0.0212751,0.00709169,0.0212751,0.00709169
10,3973.18,0.97391,0.85846,1.19646,0.83915,0.79393,0.88092,0.66965,0.83285,0.68079,1.08385,0.0192799,0.00642662,0.0192799,0.00642662,0.0192799,0.00642662,0.0192799,0.00642662
11,4346.96,0.95715,0.83788,1.18538,0.84581,0.795,0.88589,0.67933,0.82155,0.66458,1.07527,0.017199,0.00573302,0.017199,0.00573302,0.017199,0.00573302,0.017199,0.00573302
12,4715.77,0.94187,0.8185,1.17869,0.84461,0.8015,0.88791,0.68287,0.8127,0.65639,1.07026,0.015075,0.005025,0.015075,0.005025,0.015075,0.005025,0.015075,0.005025
13,5092.8,0.92597,0.79772,1.16435,0.84392,0.8051,0.88996,0.68638,0.80645,0.65153,1.06314,0.012951,0.00431698,0.012951,0.00431698,0.012951,0.00431698,0.012951,0.00431698
14,5471.34,0.91103,0.781,1.15811,0.8465,0.80624,0.89174,0.68906,0.8025,0.64369,1.06131,0.0108701,0.00362338,0.0108701,0.00362338,0.0108701,0.00362338,0.0108701,0.00362338
15,5847.88,0.89853,0.76114,1.15,0.8464,0.81053,0.8945,0.69243,0.7974,0.63595,1.05836,0.00887493,0.00295831,0.00887493,0.00295831,0.00887493,0.00295831,0.00887493,0.00295831
16,6232.24,0.88552,0.74608,1.1405,0.84623,0.81405,0.8961,0.6949,0.7933,0.63103,1.05485,0.00700594,0.00233531,0.00700594,0.00233531,0.00700594,0.00233531,0.00700594,0.00233531
17,6619.26,0.87284,0.72748,1.1355,0.85011,0.81137,0.89685,0.69585,0.78978,0.62873,1.05266,0.0053012,0.00176707,0.0053012,0.00176707,0.0053012,0.00176707,0.0053012,0.00176707
18,7000.74,0.79861,0.61682,1.08591,0.85217,0.81394,0.89833,0.6979,0.78793,0.62204,1.05092,0.00379544,0.00126515,0.00379544,0.00126515,0.00379544,0.00126515,0.00379544,0.00126515
19,7365.1,0.78322,0.5989,1.07523,0.85435,0.81577,0.90016,0.69966,0.78654,0.61688,1.04973,0.00251929,0.000839764,0.00251929,0.000839764,0.00251929,0.000839764,0.00251929,0.000839764
20,7730.41,0.77436,0.58423,1.06854,0.8573,0.81551,0.90071,0.70058,0.78549,0.61303,1.04863,0.00149874,0.000499581,0.00149874,0.000499581,0.00149874,0.000499581,0.00149874,0.000499581
21,8094.92,0.76685,0.57732,1.06427,0.85498,0.81814,0.90139,0.70136,0.78509,0.61097,1.04828,0.000754567,0.000251522,0.000754567,0.000251522,0.000754567,0.000251522,0.000754567,0.000251522
22,8461.05,0.76228,0.57048,1.06294,0.85584,0.81896,0.90195,0.70176,0.78471,0.60997,1.04812,0.000301915,0.000100638,0.000301915,0.000100638,0.000301915,0.000100638,0.000301915,0.000100638
