epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,569.141,1.06063,0.85473,1.16796,0.7956,0.69023,0.78178,0.54393,1.02096,0.77741,1.10241,0.00999655,0.00333218,0.00999655,0.00333218,0.00999655,0.00333218,0.00999655,0.00333218
2,1090.19,1.1521,0.99481,1.22402,0.77793,0.64751,0.74117,0.50582,1.0723,0.87284,1.13794,0.0197802,0.00659342,0.0197802,0.00659342,0.0197802,0.00659342,0.0197802,0.00659342
3,1579.11,1.22775,1.10458,1.26911,0.76123,0.62755,0.71911,0.47818,1.12832,0.94067,1.18038,0.0287128,0.00957095,0.0287128,0.00957095,0.0287128,0.00957095,0.0287128,0.00957095
4,2067.11,1.24004,1.11225,1.27341,0.78246,0.64928,0.74727,0.50953,1.07082,0.87908,1.13798,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
5,2553.8,1.19278,1.04519,1.24476,0.78607,0.67825,0.76997,0.53049,1.03954,0.82754,1.11513,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622
6,3041.58,1.16874,1.01182,1.22943,0.7894,0.69113,0.78333,0.54517,1.0146,0.79541,1.1006,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
7,3529.05,1.14578,0.9776,1.21143,0.80872,0.68486,0.78832,0.55555,0.99202,0.77177,1.08502,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
8,4015.27,1.12256,0.95026,1.19874,0.80202,0.70041,0.79691,0.56702,0.96852,0.75039,1.06915,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742
9,4500.69,1.09759,0.91966,1.18713,0.801,0.71381,0.80247,0.5738,0.95539,0.73432,1.06196,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258
10,4985.15,1.07723,0.8914,1.17333,0.81408,0.7165,0.80968,0.58174,0.94658,0.71423,1.05557,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
11,5466.92,0.98177,0.75592,1.10133,0.81036,0.72001,0.8126,0.58393,0.94451,0.70747,1.05506,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
12,5938.37,0.95697,0.7237,1.08596,0.81701,0.7188,0.81638,0.58915,0.93449,0.69788,1.04749,0.00521341,0.0017378,0.00521341,0.0017378,0.00521341,0.0017378,0.00521341,0.0017378
13,6409.22,0.93979,0.70155,1.07622,0.81744,0.72551,0.81938,0.5926,0.93131,0.69201,1.04722,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
14,6879.46,0.92459,0.68415,1.06862,0.82061,0.72539,0.82047,0.59395,0.92731,0.68719,1.04447,0.00158385,0.00052795,0.00158385,0.00052795,0.00158385,0.00052795,0.00158385,0.00052795
15,7351.02,0.91493,0.6723,1.06274,0.82081,0.72508,0.82128,0.59467,0.92646,0.68548,1.04405,0.000624508,0.000208169,0.000624508,0.000208169,0.000624508,0.000208169,0.000624508,0.000208169
