epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,368.877,1.02659,0.78717,1.13829,0.82901,0.74352,0.83138,0.60126,0.93973,0.67845,1.04018,0.002,0.002,0.002
2,752.237,1.02274,0.78312,1.13655,0.82934,0.74144,0.83265,0.60245,0.93185,0.66882,1.0407,0.00195155,0.00195155,0.00195155
3,1139.07,1.01934,0.77864,1.13439,0.82367,0.74647,0.83342,0.60631,0.92356,0.66371,1.03652,0.00181093,0.00181093,0.00181093
4,1523.11,1.00822,0.76921,1.12924,0.83044,0.74417,0.83476,0.61011,0.91662,0.662,1.03214,0.00159191,0.00159191,0.00159191
5,1931.8,0.99795,0.75746,1.12235,0.83004,0.74946,0.83839,0.61101,0.91277,0.65147,1.02854,0.00131593,0.00131593,0.00131593
6,2351.74,0.98466,0.74875,1.11612,0.83194,0.74842,0.83915,0.61651,0.9011,0.63948,1.02371,0.00101,0.00101,0.00101
7,2692.2,0.89627,0.62814,1.04838,0.83314,0.75041,0.84113,0.61794,0.8968,0.6329,1.01759,0.000704073,0.000704073,0.000704073
8,3035.13,0.8845,0.61466,1.04107,0.83255,0.75731,0.84282,0.62101,0.89243,0.6255,1.01605,0.000428093,0.000428093,0.000428093
9,3375.95,0.87403,0.60451,1.03498,0.83643,0.75648,0.84416,0.62239,0.88928,0.61942,1.0148,0.000209073,0.000209073,0.000209073
10,3715.36,0.87199,0.59796,1.03278,0.83566,0.75735,0.84477,0.62334,0.88751,0.61771,1.013,6.8454e-05,6.8454e-05,6.8454e-05
